Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2024 - 2025,2025 Spring,GRAD,UGRD,Vaibhavi,Nagar,,ACCT,2301,7,6,9,27,13,6,0,0,1,1,0,0,63
2024 - 2025,2025 Spring,GRAD,UGRD,Rahul,Garg,,ACCT,2301,8,8,18,20,8,2,0,0,0,4,0,0,60
2024 - 2025,2025 Spring,GRAD,UGRD,Chandrani,Chatterjee,,ACCT,3303,4,3,20,2,1,1,0,0,1,2,0,0,30
2024 - 2025,2025 Spring,GRAD,GRAD,Nicholas,Mitchell,,ACCT,5133,1,9,5,0,0,0,0,0,0,1,0,0,15
2024 - 2025,2025 Spring,GRAD,GRAD,Xiaojing,Li,,ACCT,5301,70,44,4,0,0,0,2,0,0,3,0,0,53
2024 - 2025,2025 Spring,GRAD,GRAD,Xiaojing,Li,,ACCT,5301,71,45,5,0,0,0,2,0,0,2,0,0,54
2024 - 2025,2025 Spring,GRAD,GRAD,Jivas,Chakravarthy,,ACCT,5307,1,12,22,2,0,0,0,0,0,2,0,0,38
2024 - 2025,2025 Spring,GRAD,GRAD,Jivas,Chakravarthy,,ACCT,5307,2,18,12,1,1,0,0,0,0,1,0,0,33
2024 - 2025,2025 Spring,GRAD,GRAD,Bin,Srinidhi,,ACCT,5307,60,23,26,8,1,1,0,0,0,2,0,0,61
2024 - 2025,2025 Spring,GRAD,GRAD,Ramgopal,Venkataraman,,ACCT,5307,60,23,26,8,1,1,0,0,0,2,0,0,61
2024 - 2025,2025 Spring,GRAD,GRAD,Stephanie,Rasmussen,,ACCT,5307,60,23,26,8,1,1,0,0,0,2,0,0,61
2024 - 2025,2025 Spring,GRAD,GRAD,Li-Chin,Ho,,ACCT,5307,70,13,2,0,0,0,0,0,0,0,0,0,15
2024 - 2025,2025 Spring,GRAD,GRAD,Tao,Ma,,ACCT,5307,71,53,6,0,0,0,1,0,0,0,0,0,60
2024 - 2025,2025 Spring,GRAD,GRAD,Nicholas,Mitchell,,ACCT,5311,1,1,0,1,2,1,0,0,0,4,0,0,9
2024 - 2025,2025 Spring,GRAD,GRAD,Meng,Li,,ACCT,5316,1,10,5,0,0,0,0,0,0,0,0,0,15
2024 - 2025,2025 Spring,GRAD,GRAD,Cheryl,Prachyl,,ACCT,5319,1,5,8,6,0,0,0,0,0,3,0,0,22
2024 - 2025,2025 Spring,GRAD,GRAD,Cheryl,Prachyl,,ACCT,5321,1,7,9,2,1,0,0,0,0,0,0,0,19
2024 - 2025,2025 Spring,GRAD,GRAD,Nandu,Nagarajan,,ACCT,5322,1,6,1,0,0,0,0,0,0,0,0,0,7
2024 - 2025,2025 Spring,GRAD,GRAD,Jivas,Chakravarthy,,ACCT,5324,1,4,3,1,0,0,0,0,0,0,0,0,8
2024 - 2025,2025 Spring,GRAD,GRAD,Md Ruhul,Amin,,ACCT,5329,1,10,16,3,0,0,0,0,0,0,0,0,29
2024 - 2025,2025 Spring,GRAD,GRAD,Sandra,Henderson,,ACCT,5329,1,10,16,3,0,0,0,0,0,0,0,0,29
2024 - 2025,2025 Spring,GRAD,GRAD,Md Ruhul,Amin,,ACCT,5335,1,15,2,0,0,0,0,0,0,1,0,0,18
